
 Event Time in Mabp  , 3.6                 , HC Masses in Tons   ,
 7                   , 2                   , Sid Outflow Layer   ,
 6                   , 3                   , Remaining           ,
 6                   , 3                   , Primary             ,
 6                   , 3                   , Secondary In        ,
 6                   , 3                   , Secondary Out       ,
 6                   , 3                   , Liquid              ,
 6                   , 3                   , Vapor               ,
 6                   , 3                   , Water               ,
 6                   , 3                   , Adsorbed            ,
 6                   , 3                   , Inflow              ,
 6                   , 3                   , Outflow             ,
 6                   , 3                   , Top Outflow Layer   ,
 6                   , 3                   , Sid Outflow Layer   ,
 5                   , 4                   , Remaining           ,
 5                   , 4                   , Primary             ,
 5                   , 4                   , Secondary In        ,
 5                   , 4                   , Secondary Out       ,
 5                   , 4                   , Liquid              ,
 5                   , 4                   , Vapor               ,
 5                   , 4                   , Water               ,
 5                   , 4                   , Adsorbed            ,
 5                   , 4                   , Inflow              ,
 5                   , 4                   , Outflow             ,
 5                   , 4                   , Top Outflow Layer   ,
 5                   , 4                   , Sid Outflow Layer   ,
 4                   , 5                   , Remaining           ,
 4                   , 5                   , Primary             ,
 4                   , 5                   , Secondary In        ,
 4                   , 5                   , Secondary Out       ,
 4                   , 5                   , Liquid              ,
 4                   , 5                   , Vapor               ,
 4                   , 5                   , Water               ,
 4                   , 5                   , Adsorbed            ,
 4                   , 5                   , Inflow              ,
 4                   , 5                   , Outflow             ,
 4                   , 5                   , Top Outflow Layer   ,
 4                   , 5                   , Sid Outflow Layer   ,
 3                   , 6                   , Remaining           ,
 3                   , 6                   , Primary             ,
 3                   , 6                   , Secondary In        ,
 3                   , 6                   , Secondary Out       ,
 3                   , 6                   , Liquid              ,
 3                   , 6                   , Vapor               ,
 3                   , 6                   , Water               ,
 3                   , 6                   , Adsorbed            ,
 3                   , 6                   , Inflow              ,
 3                   , 6                   , Outflow             ,
 3                   , 6                   , Top Outflow Layer   ,
 3                   , 6                   , Sid Outflow Layer   ,
 2                   , 7                   , Remaining           ,
 2                   , 7                   , Primary             ,
 2                   , 7                   , Secondary In        ,
 2                   , 7                   , Secondary Out       ,
 2                   , 7                   , Liquid              ,
 2                   , 7                   , Vapor               ,
 2                   , 7                   , Water               ,
 2                   , 7                   , Adsorbed            ,
 2                   , 7                   , Inflow              ,
 2                   , 7                   , Outflow             ,
 2                   , 7                   , Top Outflow Layer   ,
 2                   , 7                   , Sid Outflow Layer   ,
 1                   , 8                   , Remaining           ,
 1                   , 8                   , Primary             ,
 1                   , 8                   , Secondary In        ,
 1                   , 8                   , Secondary Out       ,
 1                   , 8                   , Liquid              ,
 1                   , 8                   , Vapor               ,
 1                   , 8                   , Water               ,
 1                   , 8                   , Adsorbed            ,
 1                   , 8                   , Inflow              ,
 1                   , 8                   , Outflow             ,
 1                   , 8                   , Top Outflow Layer   ,
 1                   , 8                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,
